nb,od,thickness,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,bld kg,bolts wt rf
0+1/2,95,14.3,34.9,7,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.5 kg,0.54 kg
0+3/4,115,15.9,42.9,7,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.5 kg,0.79 kg
1,125,17.5,50.8,7,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.8 kg,0.79 kg
1+1/4,135,20.7,63.5,7,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,0.82 kg
1+1/2,155,22.3,73.0,7,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.7 kg,1.54 kg
2,165,25.4,92.1,7,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.6 kg,1.8 kg
2+1/2,190,28.6,104.8,7,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,6.8 kg,3.24 kg
3,210,31.8,127.0,7,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,9.1 kg,3.32 kg
3+1/2,230,35.0,139.7,7,184.2,8 Holes,7/8'',140,1'' Dia,M24,13.2 kg,5.52 kg
4,255,35.0,157.2,7,200.0,8 Holes,7/8'',140,1'' Dia,M24,15.0 kg,5.52 kg
5,280,38.1,185.7,7,235.0,8 Holes,7/8'',145,1'' Dia,M24,20.0 kg,5.64 kg
6,320,41.3,215.9,7,269.9,12 Holes,7/8'',150,1'' Dia,M24,28.0 kg,8.65 kg
8,380,47.7,269.9,7,330.0,12 Holes,1'',170,1+1/8'' Dia,M27,46.0 kg,12.65 kg
10,445,54.0,323.8,7,387.4,16 Holes,1+1/8'',190,1+1/4'' Dia,M30,71.0 kg,23.26 kg
12,520,57.2,381.0,7,450.8,16 Holes,1+1/4'',205,1+3/8'' Dia,M33,102.0 kg,30.35 kg
14,585,60.4,412.8,7,514.4,20 Holes,1+1/4'',210,1+3/8'' Dia,M33,132.0 kg,38.51 kg
16,650,63.5,469.9,7,571.5,20 Holes,1+3/8'',220,1+1/2'' Dia,M36,168.0 kg,50.38 kg
18,710,66.7,533.4,7,628.6,24 Holes,1+3/8'',230,1+1/2'' Dia,M36,207.0 kg,62.15 kg
20,775,69.9,584.2,7,685.8,24 Holes,1+1/2'',240,1+3/4'' Dia,M39,266.0 kg,78.11 kg
24,915,76.2,692.2,7,812.8,24 Holes,1+3/4'',265,1+7/8'' Dia,M45,405.0 kg,119.85 kg
