nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
8,345,27.0,246,219.1,100,269.9,2,298.5,8 Holes,3/4'',110,7/8'' Dia,M20,17.32 kg,3.08 kg,1.6,102,37.5*,206.4
10,405,28.6,305,273.0,100,323.8,2,362.0,12 Holes,7/8'',115,1'' Dia,M24,22.56 kg,7.4 kg,1.6,102,37.5*,260.3
12,485,30.2,365,323.8,113,381.0,2,431.8,12 Holes,7/8'',120,1'' Dia,M24,35.45 kg,7.58 kg,1.6,115,37.5*,311.1
14,535,33.4,400,355.6,125,412.8,2,476.3,12 Holes,1'',135,1+1/8'' Dia,M27,48.57 kg,11.04 kg,1.6,127,37.5*,339.76
16,595,35.0,457,406.4,125,469.9,2,539.8,16 Holes,1'',135,1+1/8'' Dia,M27,59.37 kg,14.72 kg,1.6,127,37.5*,390.56
18,635,38.1,505,457.2,138,533.4,2,577.9,16 Holes,1+1/8'',145,1+1/4'' Dia,M30,68.1 kg,19.9 kg,1.6,140,37.5*,441.16
20,700,41.3,559,508.0,143,584.2,2,635.0,20 Holes,1+1/8'',160,1+1/4'' Dia,M30,87.57 kg,26.28 kg,1.6,145,37.5*,488.94
24,815,46.1,663,610.0,151,692.2,2,749.3,20 Holes,1+1/4'',170,1+3/8'' Dia,M33,119.22 kg,33.94 kg,1.6,153,37.5*,590.94
