nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
0+1/2,120,22.3,38,21.3,60,60.5,6.35,12,4,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.83 kg,39.67,6.35,8.74,1.54 kg,1.6,67,37.5*,23*,15.76
0+3/4,130,25.4,44,26.7,70,66.5,6.35,14,4,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.52 kg,44.45,6.35,8.74,1.58 kg,1.6,77,37.5*,23*,20.96
1,150,28.6,52,33.4,73,71.5,6.35,16,4,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.73 kg,50.8,6.35,8.74,2.58 kg,1.6,80,37.5*,23*,26.64
1+1/4,160,28.6,64,42.2,73,81.0,6.35,18,4,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.32 kg,60.33,6.35,8.74,2.58 kg,1.6,80,37.5*,23*,35.08
1+1/2,180,31.8,70,48.3,83,92.0,6.35,20,4,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,6.05 kg,68.27,6.35,8.74,3.75 kg,1.6,90,37.5*,23*,40.94
2,215,38.1,105,60.3,102,124.0,7.92,24,3,165.1,8 Holes,7/8'',145,1'' Dia,M24,10.66 kg,95.25,7.92,11.91,5.64 kg,1.6,109,37.5*,23*,52.48
2+1/2,245,41.3,124,73.0,105,137.0,7.92,27,3,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,14.92 kg,107.95,7.92,11.91,8.12 kg,1.6,112,37.5*,23*,62.68
3,265,47.7,133,88.9,117,168.0,7.92,35,3,203.2,8 Holes,1+1/8'',180,1+1/4'' Dia,M30,19.34 kg,136.53,7.92,11.91,11.25 kg,1.6,124,37.5*,23*,77.92
4,310,54.0,162,114.3,124,194.0,7.92,39,3,241.3,8 Holes,1+1/4'',195,1+3/8'' Dia,M33,29.28 kg,161.93,7.92,11.91,14.72 kg,1.6,131,37.5*,23*,102.26
5,375,73.1,197,141.3,156,229.0,7.92,44,3,292.1,8 Holes,1+1/2'',250,1+5/8'' Dia,M39,56.56 kg,193.68,7.92,11.91,26.71 kg,1.6,163,37.5*,23*,128.2
6,395,82.6,229,168.3,171,248.0,9.53,46,3,317.5,12 Holes,1+3/8'',265,1+1/2'' Dia,M36,67.64 kg,211.14,9.53,13.49,34.04 kg,1.6,178,37.5*,23*,154.08
8,485,92.1,292,219.1,213,318.0,11.13,50,4,393.7,12 Holes,1+5/8'',325,1+3/4'' Dia,M42,115.75 kg,269.88,11.13,16.66,57.53 kg,1.6,220,37.5*,23*,202.74
10,585,108.0,368,273.0,254,371.0,11.13,54,4,482.6,12 Holes,1+7/8'',345,2'' Dia,M48,199.68 kg,323.85,11.13,16.66,82.81 kg,1.6,261,37.5*,23*,254.46
12,675,123.9,451,323.8,283,438.0,14.27,58,5,571.5,16 Holes,2'',385,2+1/8'' Dia,M52,301.09 kg,381.0,14.27,23.01,141.9 kg,1.6,290,37.5*,23*,303.18
14,750,133.4,495,355.6,298,489.0,15.88,63,6,635.0,16 Holes,2+1/4'',425,2+3/8'' Dia,M56,396.61 kg,419.1,15.88,26.97,175.5 kg,1.6,305,37.5*,23*,333.34
16,825,146.1,552,406.4,311,546.0,17.48,67,8,704.8,16 Holes,2+1/2'',470,2+5/8'' Dia,M64,507.52 kg,469.9,17.48,30.18,252.25 kg,1.6,318,37.5*,23*,381.0
18,915,162.0,597,457.0,327,613.0,17.48,71,8,774.7,16 Holes,2+3/4'',525,2+7/8'' Dia,M72,669.03 kg,533.4,17.48,30.18,352.31 kg,1.6,334,37.5*,23*,428.46
20,985,177.8,641,508.0,356,673.0,17.48,75,10,831.8,16 Holes,3'',565,3+1/8'' Dia,M76,822.0 kg,584.2,17.48,33.32,422.24 kg,1.6,363,37.5*,23*,477.82
24,1170,203.2,762,610.0,406,794.0,20.62,79,11,990.6,16 Holes,3+1/2'',650,3+5/8'' Dia,M90,1318.14 kg,692.15,20.62,36.53,672.32 kg,1.6,413,37.5*,23*,575.04
