nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,95,12.7,38,21.3,51,34.9,2,66.7,4 Holes,1/2'',65,5/8'' Dia,M14,0.78 kg,0.5 kg,1.6,53,37.5*,11.74
0+3/4,115,14.3,48,26.7,56,42.9,2,82.6,4 Holes,5/8'',75,3/4'' Dia,M16,1.3 kg,0.71 kg,1.6,58,37.5*,15.58
1,125,15.9,54,33.4,60,50.8,2,88.9,4 Holes,5/8'',75,3/4'' Dia,M16,1.74 kg,0.71 kg,1.6,62,37.5*,20.7
1+1/4,135,17.5,64,42.2,64,63.5,2,98.4,4 Holes,5/8'',85,3/4'' Dia,M16,2.26 kg,0.77 kg,1.6,66,37.5*,29.5
1+1/2,155,19.1,70,48.3,67,73.0,2,114.3,4 Holes,3/4'',90,7/8'' Dia,M20,3.15 kg,1.37 kg,1.6,69,37.5*,34.02
2,165,20.7,84,60.3,68,92.1,2,127.0,8 Holes,5/8'',90,3/4'' Dia,M16,3.85 kg,1.59 kg,1.6,70,37.5*,42.82
2+1/2,190,23.9,100,73.0,75,104.8,2,149.2,8 Holes,3/4'',100,7/8'' Dia,M20,5.74 kg,2.91 kg,1.6,77,37.5*,53.94
3,210,27.0,117,88.9,78,127.0,2,168.3,8 Holes,3/4'',110,7/8'' Dia,M20,7.89 kg,3.08 kg,1.6,80,37.5*,66.64
4,255,30.2,146,114.3,84,157.2,2,200.0,8 Holes,3/4'',115,7/8'' Dia,M20,13.08 kg,3.16 kg,1.6,86,37.5*,87.32
5,280,33.4,178,141.3,97,185.7,2,235.0,8 Holes,3/4'',120,7/8'' Dia,M20,18.17 kg,3.24 kg,1.6,99,37.5*,109.54
6,320,35.0,206,168.3,97,215.9,2,269.9,12 Holes,3/4'',120,7/8'' Dia,M20,23.88 kg,4.86 kg,1.6,99,37.5*,131.78
8,380,39.7,260,219.1,110,269.9,2,330.2,12 Holes,7/8'',140,1'' Dia,M24,38.13 kg,8.29 kg,1.6,112,37.5*,173.08
10,445,46.1,321,273.0,116,323.8,2,387.4,16 Holes,1'',160,1+1/8'' Dia,M27,57.39 kg,16.25 kg,1.6,118,37.5*,215.84
12,520,49.3,375,323.8,129,381.0,2,450.8,16 Holes,1+1/8'',170,1+1/4'' Dia,M30,85.02 kg,21.77 kg,1.6,131,37.5*,257.16
14,585,52.4,425,355.6,141,412.8,2,514.4,20 Holes,1+1/8'',180,1+1/4'' Dia,M30,117.29 kg,28.14 kg,1.6,143,37.5*,284.18
16,650,55.6,483,406.4,144,469.9,2,571.5,20 Holes,1+1/4'',190,1+3/8'' Dia,M33,150.56 kg,36.21 kg,1.6,146,37.5*,325.42
18,710,58.8,533,457.0,157,533.4,2,628.6,24 Holes,1+1/4'',195,1+3/8'' Dia,M33,191.27 kg,44.16 kg,1.6,159,37.5*,366.52
20,775,62.0,587,508.0,160,584.2,2,685.8,24 Holes,1+1/4'',205,1+3/8'' Dia,M33,236.39 kg,45.52 kg,1.6,162,37.5*,407.98
24,915,68.3,702,610.0,167,692.2,2,812.8,24 Holes,1+1/2'',230,1+5/8'' Dia,M39,350.69 kg,76.1 kg,1.6,169,37.5*,490.92
