nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
1,110,12.7,49,33.4,54,63.5,6.35,15.0,4.0,79.4,4 Holes,1/2'',75.0,5/8'' Dia,M14,0.99 kg,47.63,6.35,8.74,0.54 kg,1.6,56,37.5*,23*,30.1
1+1/4,115,14.3,59,42.2,56,73.0,6.35,17.0,4.0,88.9,4 Holes,1/2'',85.0,5/8'' Dia,M14,1.2 kg,57.15,6.35,8.74,0.58 kg,1.6,58,37.5*,23*,38.9
1+1/2,125,15.9,65,48.3,60,82.5,6.35,19.0,4.0,98.4,4 Holes,1/2'',85.0,5/8'' Dia,M14,1.55 kg,65.07,6.35,8.74,0.58 kg,1.6,62,37.5*,23*,45.0
2,150,17.5,78,60.3,62,102.0,6.35,22.0,4.0,120.7,4 Holes,5/8'',95.0,3/4'' Dia,M16,2.35 kg,82.55,6.35,8.74,0.82 kg,1.6,64,37.5*,23*,57.0
2+1/2,180,20.7,90,73.0,68,121.0,6.35,25.0,4.0,139.7,4 Holes,5/8'',100.0,3/4'' Dia,M16,3.93 kg,101.6,6.35,8.74,0.84 kg,1.6,70,37.5*,23*,68.78
3,190,22.3,108,88.9,68,133.0,6.35,29.0,4.0,152.4,4 Holes,5/8'',100.0,3/4'' Dia,M16,4.52 kg,114.3,6.35,8.74,0.84 kg,1.6,70,37.5*,23*,84.68
3+1/2,215,22.3,122,101.6,70,154.0,6.35,33.0,4.0,177.8,8 Holes,5/8'',100.0,3/4'' Dia,M16,5.57 kg,131.78,6.35,8.74,1.69 kg,1.6,72,37.5*,23*,97.38
4,230,22.3,135,114.3,75,171.0,6.35,36.0,4.0,190.5,8 Holes,5/8'',100.0,3/4'' Dia,M16,6.37 kg,149.23,6.35,8.74,1.69 kg,1.6,77,37.5*,23*,110.08
5,255,22.3,164,141.3,87,194.0,6.35,40.0,4.0,215.9,8 Holes,3/4'',110.0,7/8'' Dia,M20,7.85 kg,171.45,6.35,8.74,3.08 kg,1.6,89,37.5*,23*,135.76
6,280,23.9,192,168.3,87,219.0,6.35,43.0,4.0,241.3,8 Holes,3/4'',115.0,7/8'' Dia,M20,9.44 kg,193.68,6.35,8.74,3.16 kg,1.6,89,37.5*,23*,162.76
8,345,27.0,246,219.1,100,273.0,6.35,48.0,4.0,298.5,8 Holes,3/4'',120.0,7/8'' Dia,M20,15.44 kg,247.65,6.35,8.74,3.24 kg,1.6,102,37.5*,23*,213.56
10,405,28.6,305,273.0,100,330.0,6.35,52.0,4.0,362.0,12 Holes,7/8'',125.0,1'' Dia,M24,20.59 kg,304.8,6.35,8.74,7.76 kg,1.6,102,37.5*,23*,266.3
12,485,30.2,365,323.8,113,406.0,6.35,56.0,4.0,431.8,12 Holes,7/8'',135.0,1'' Dia,M24,33.29 kg,381.0,6.35,8.74,8.11 kg,1.6,115,37.5*,23*,315.98
14,535,33.4,400,355.6,125,425.0,6.35,59.0,3.0,476.3,12 Holes,1'',145.0,1+1/8'' Dia,M27,44.32 kg,396.88,6.35,8.74,11.49 kg,1.6,127,37.5*,23*,347.68
16,595,35.0,457,406.4,125,483.0,6.35,64.0,3.0,539.8,16 Holes,1'',145.0,1+1/8'' Dia,M27,54.78 kg,454.03,6.35,8.74,15.32 kg,1.6,127,37.5*,23*,398.02
18,635,38.1,505,457.2,138,546.0,6.35,68.0,3.0,577.9,16 Holes,1+1/8'',160.0,1+1/4'' Dia,M30,62.38 kg,517.53,6.35,8.74,21.02 kg,1.6,140,37.5*,23*,448.62
20,700,41.3,559,508.0,143,597.0,6.35,72.0,3.0,635.0,20 Holes,1+1/8'',170.0,1+1/4'' Dia,M30,79.2 kg,558.8,6.35,8.74,27.21 kg,1.6,145,37.5*,23*,498.44
24,815,46.1,663,610.0,151,711.0,6.35,76.0,3.0,749.3,20 Holes,1+1/4'',185.0,1+3/8'' Dia,M33,110.27 kg,673.1,6.35,8.74,35.65 kg,1.6,153,37.5*,23*,598.92
