nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
8,485,92.1,292,219.1,213,269.9,7,393.7,12 Holes,1+5/8'',290,1+3/4'' Dia,M42,118.02 kg,53.38 kg,1.6,220,37.5*,198.48
10,585,108.0,368,273.0,254,323.8,7,482.6,12 Holes,1+7/8'',335,2'' Dia,M48,205.14 kg,81.26 kg,1.6,261,37.5*,247.6
12,675,123.9,451,323.8,283,381.0,7,571.5,16 Holes,2'',375,2+1/8'' Dia,M52,309.46 kg,139.43 kg,1.6,290,37.5*,295.26
14,750,133.4,495,355.6,298,412.8,7,635.0,16 Holes,2+1/4'',405,2+3/8'' Dia,M56,406.32 kg,169.9 kg,1.6,305,37.5*,325.42
16,825,146.1,552,406.4,311,469.9,7,704.8,16 Holes,2+1/2'',445,2+5/8'' Dia,M64,519.11 kg,243.0 kg,1.6,318,37.5*,373.08
18,915,162.0,597,457.0,327,533.4,7,774.7,16 Holes,2+3/4'',495,2+7/8'' Dia,M72,685.56 kg,338.28 kg,1.6,334,37.5*,418.9
20,985,177.8,641,508.0,356,584.2,7,831.8,16 Holes,3'',540,3+1/8'' Dia,M76,845.21 kg,408.8 kg,1.6,363,37.5*,466.76
24,1170,203.2,762,610.0,406,692.2,7,990.6,16 Holes,3+1/2'',615,3+5/8'' Dia,M90,1359.18 kg,646.55 kg,1.6,413,37.5*,560.78
