nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
4,255,35.0,146,114.3,89,157.2,7,200.0,8 Holes,7/8'',140,1'' Dia,M24,14.2 kg,5.52 kg,1.6,96,37.5*,92.04
5,280,38.1,178,141.3,102,185.7,7,235.0,8 Holes,7/8'',145,1'' Dia,M24,19.11 kg,5.64 kg,1.6,109,37.5*,115.9
6,320,41.3,206,168.3,103,215.9,7,269.9,12 Holes,7/8'',150,1'' Dia,M24,25.45 kg,8.65 kg,1.6,110,37.5*,139.76
8,380,47.7,260,219.1,117,269.9,7,330.0,12 Holes,1'',170,1+1/8'' Dia,M27,40.68 kg,12.65 kg,1.6,124,37.5*,182.58
10,445,54.0,321,273.0,124,323.8,7,387.4,16 Holes,1+1/8'',190,1+1/4'' Dia,M30,58.79 kg,23.26 kg,1.6,131,37.5*,230.12
12,520,57.2,375,323.8,137,381.0,7,450.8,16 Holes,1+1/4'',205,1+3/8'' Dia,M33,86.65 kg,30.35 kg,1.6,144,37.5*,273.0
14,585,60.4,425,355.6,149,412.8,7,514.4,20 Holes,1+1/4'',210,1+3/8'' Dia,M33,119.69 kg,38.51 kg,1.6,156,37.5*,300.02
16,650,63.5,483,406.4,152,469.9,7,571.5,20 Holes,1+3/8'',220,1+1/2'' Dia,M36,151.77 kg,50.38 kg,1.6,159,37.5*,344.48
18,710,66.7,533,457.0,165,533.4,7,628.6,24 Holes,1+3/8'',230,1+1/2'' Dia,M36,191.03 kg,62.15 kg,1.6,172,37.5*,387.14
20,775,69.9,587,508.0,168,584.2,7,685.8,24 Holes,1+1/2'',240,1+3/4'' Dia,M39,228.83 kg,78.11 kg,1.6,175,37.5*,431.8
24,915,76.2,702,610.0,175,692.2,7,812.8,24 Holes,1+3/4'',265,1+7/8'' Dia,M45,343.45 kg,119.85 kg,1.6,182,37.5*,517.96
