nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,120,22.3,38,21.3,60,34.9,7,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.88 kg,1.54 kg,1.6,67,37.5*,11.74
0+3/4,130,25.4,44,26.7,70,42.9,7,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.6 kg,1.58 kg,1.6,77,37.5*,15.58
1,150,28.6,52,33.4,73,50.8,7,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.86 kg,2.58 kg,1.6,80,37.5*,20.7
1+1/4,160,28.6,64,42.2,73,63.5,7,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.49 kg,2.58 kg,1.6,80,37.5*,29.5
1+1/2,180,31.8,70,48.3,83,73.0,7,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,6.32 kg,3.75 kg,1.6,90,37.5*,34.02
2,215,38.1,105,60.3,102,92.1,7,165.1,8 Holes,7/8'',145,1'' Dia,M24,11.24 kg,5.64 kg,1.6,109,37.5*,42.82
2+1/2,245,41.3,124,73.0,105,104.8,7,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,15.58 kg,8.12 kg,1.6,112,37.5*,53.94
3,240,38.1,127,88.9,102,127.0,7,190.5,8 Holes,7/8'',145,1'' Dia,M24,14.29 kg,5.64 kg,1.6,109,37.5*,66.64
4,290,44.5,159,114.3,114,157.2,7,235.0,8 Holes,1+1/8'',170,1+1/4'' Dia,M30,23.76 kg,10.88 kg,1.6,121,37.5*,87.32
5,350,50.8,190,141.3,127,185.7,7,279.4,8 Holes,1+1/4'',190,1+3/8'' Dia,M33,39.2 kg,14.48 kg,1.6,134,37.5*,109.54
6,380,55.6,235,168.3,140,215.9,7,317.5,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,51.8 kg,17.44 kg,1.6,147,37.5*,131.78
8,470,63.5,298,219.1,162,269.9,7,393.7,12 Holes,1+3/8'',220,1+1/2'' Dia,M36,90.79 kg,30.22 kg,1.6,169,37.5*,173.08
10,545,69.9,368,273.0,184,323.8,7,469.9,16 Holes,1+3/8'',235,1+1/2'' Dia,M36,137.88 kg,42.0 kg,1.6,191,37.5*,215.84
12,610,79.4,419,323.8,200,381.0,7,533.4,20 Holes,1+3/8'',255,1+1/2'' Dia,M36,190.01 kg,55.32 kg,1.6,207,37.5*,257.16
14,640,85.8,451,355.6,213,412.8,7,558.8,20 Holes,1+1/2'',275,1+5/8'' Dia,M39,221.45 kg,58.15 kg,1.6,220,37.5*,284.18
16,705,88.9,508,406.4,216,469.9,7,616.0,20 Holes,1+5/8'',285,1+3/4'' Dia,M42,275.25 kg,72.61 kg,1.6,223,37.5*,325.42
18,785,101.6,565,457.0,229,533.4,7,685.8,20 Holes,1+7/8'',325,2'' Dia,M48,372.05 kg,132.84 kg,1.6,236,37.5*,366.52
20,855,108.0,622,508.0,248,584.2,7,749.3,20 Holes,2'',350,2+1/8'' Dia,M52,472.71 kg,166.6 kg,1.6,255,37.5*,407.98
24,1040,139.7,749,610.0,292,692.2,7,901.7,20 Holes,2+1/2'',440,2+5/8'' Dia,M64,861.66 kg,345.48 kg,1.6,299,37.5*,490.92
