nb,od,thickness,hub-x,hub-a,thd thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,so kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,rtj degree
0+1/2,95,14.3,38,21.3,22,51.0,5.54,11,3,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.3 kg,34.14,5.54,7.14,0.54 kg,23*
0+3/4,115,15.9,48,26.7,25,63.5,6.35,13,4,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.5 kg,42.88,6.35,8.74,0.79 kg,23*
1,125,17.5,54,33.4,27,70.0,6.35,16,4,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.8 kg,50.8,6.35,8.74,0.79 kg,23*
1+1/4,135,20.7,64,42.2,29,79.5,6.35,18,4,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,60.33,6.35,8.74,0.82 kg,23*
1+1/2,155,22.3,70,48.3,32,90.5,6.35,20,4,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.2 kg,68.27,6.35,8.74,1.54 kg,23*
2,165,25.4,84,60.3,37,108.0,7.92,23,5,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.1 kg,82.55,7.92,11.9,1.8 kg,23*
2+1/2,190,28.6,100,73.0,41,127.0,7.92,26,5,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,5.9 kg,101.6,7.92,11.9,3.24 kg,23*
3,210,31.8,117,88.9,46,146.0,7.92,31,5,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,7.3 kg,123.83,7.92,11.9,3.32 kg,23*
3+1/2,230,35.0,133,101.6,49,159.0,7.92,34,5,184.2,8 Holes,7/8'',140,1'' Dia,M24,9.6 kg,131.78,7.92,11.9,5.52 kg,23*
4,255,35.0,146,114.3,51,175.0,7.92,37,6,200.0,8 Holes,7/8'',140,1'' Dia,M24,11.8 kg,149.23,7.92,11.91,5.52 kg,23*
5,280,38.1,178,141.3,54,210.0,7.92,41,6,235.0,8 Holes,7/8'',145,1'' Dia,M24,14.1 kg,180.98,7.92,11.91,5.64 kg,23*
6,320,41.3,206,168.3,57,241.0,7.92,45,6,269.9,12 Holes,7/8'',150,1'' Dia,M24,20.0 kg,211.12,7.92,11.91,8.65 kg,23*
8,380,47.7,260,219.1,68,302.0,7.92,49,6,330.0,12 Holes,1'',170,1+1/8'' Dia,M27,31.0 kg,269.88,7.92,11.91,12.65 kg,23*
10,445,54.0,321,273.0,73,356.0,7.92,53,6,387.4,16 Holes,1+1/8'',190,1+1/4'' Dia,M30,42.0 kg,323.85,7.92,11.91,23.26 kg,23*
12,520,57.2,375,323.8,79,413.0,7.92,57,6,450.8,16 Holes,1+1/4'',205,1+3/8'' Dia,M33,59.0 kg,381.0,7.92,11.91,30.35 kg,23*
14,585,60.4,425,355.6,84,457.0,7.92,61,6,514.4,20 Holes,1+1/4'',210,1+3/8'' Dia,M33,82.0 kg,419.1,7.92,11.91,38.51 kg,23*
16,650,63.5,483,406.4,94,508.0,7.92,65,6,571.5,20 Holes,1+3/8'',220,1+1/2'' Dia,M36,107.0 kg,469.9,7.92,11.91,50.38 kg,23*
18,710,66.7,533,457.0,98,575.0,7.92,69,6,628.6,24 Holes,1+3/8'',230,1+1/2'' Dia,M36,130.0 kg,533.4,7.92,11.91,62.15 kg,23*
20,775,69.9,587,508.0,102,635.0,9.53,73,6,685.8,24 Holes,1+1/2'',250,1+3/4'' Dia,M39,157.0 kg,584.2,9.53,13.49,80.13 kg,23*
24,915,76.2,702,610.0,114,749.0,11.13,77,6,812.8,24 Holes,1+3/4'',280,1+7/8'' Dia,M45,232.0 kg,692.15,11.13,16.66,123.96 kg,23*
