nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
8,470,63.5,298,219.1,162,308.0,7.92,49,4,393.7,12 Holes,1+3/8'',220,1+1/2'' Dia,M36,78.01 kg,269.88,7.92,11.91,30.22 kg,1.6,169,37.5*,23*,206.4
10,545,69.9,368,273.0,184,362.0,7.92,53,4,469.9,16 Holes,1+3/8'',235,1+1/2'' Dia,M36,113.57 kg,323.85,7.92,11.91,42.0 kg,1.6,191,37.5*,23*,260.3
12,610,79.4,419,323.8,200,419.0,7.92,57,4,533.4,20 Holes,1+3/8'',255,1+1/2'' Dia,M36,151.75 kg,381.0,7.92,11.91,55.32 kg,1.6,207,37.5*,23*,311.1
14,640,85.8,451,355.6,213,467.0,11.13,62,4,558.8,20 Holes,1+1/2'',280,1+5/8'' Dia,M39,175.35 kg,419.1,11.13,16.66,58.86 kg,1.6,220,37.5*,23*,339.76
16,705,88.9,508,406.4,216,524.0,11.13,66,4,616.0,20 Holes,1+5/8'',290,1+3/4'' Dia,M42,212.38 kg,469.9,11.13,16.66,73.46 kg,1.6,223,37.5*,23*,390.56
18,785,101.6,565,457.0,229,594.0,12.7,70,5,685.8,20 Holes,1+7/8'',335,2'' Dia,M48,285.9 kg,533.4,12.7,19.84,135.44 kg,1.6,236,37.5*,23*,441.16
20,855,108.0,622,508.0,248,648.0,12.7,74,5,749.3,20 Holes,2'',360,2+1/8'' Dia,M52,360.33 kg,584.2,12.7,19.84,169.67 kg,1.6,255,37.5*,23*,488.94
24,1040,139.7,749,610.0,292,772.0,15.88,78,6,901.7,20 Holes,2+1/2'',455,2+5/8'' Dia,M64,664.47 kg,692.15,15.88,26.97,353.38 kg,1.6,299,37.5*,23*,590.94
