nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,90,9.6,30,21.3,46,34.9,2,60.3,4 Holes,1/2'',55,5/8'' Dia,M14,0.49 kg,0.46 kg,1.6,48,37.5*,17.08
0+3/4,100,11.2,38,26.7,51,42.9,2,69.9,4 Holes,1/2'',65,5/8'' Dia,M14,0.72 kg,0.5 kg,1.6,53,37.5*,22.48
1,110,12.7,49,33.4,54,50.8,2,79.4,4 Holes,1/2'',65,5/8'' Dia,M14,1.03 kg,0.5 kg,1.6,56,37.5*,27.86
1+1/4,115,14.3,59,42.2,56,63.5,2,88.9,4 Holes,1/2'',70,5/8'' Dia,M14,1.26 kg,0.52 kg,1.6,58,37.5*,36.66
1+1/2,125,15.9,65,48.3,60,73.0,2,98.4,4 Holes,1/2'',70,5/8'' Dia,M14,1.63 kg,0.52 kg,1.6,62,37.5*,42.76
2,150,17.5,78,60.3,62,92.1,2,120.7,4 Holes,5/8'',85,3/4'' Dia,M16,2.45 kg,0.77 kg,1.6,64,37.5*,54.76
2+1/2,180,20.7,90,73.0,68,104.8,2,139.7,4 Holes,5/8'',90,3/4'' Dia,M16,4.04 kg,0.79 kg,1.6,70,37.5*,66.9
3,190,22.3,108,88.9,68,127.0,2,152.4,4 Holes,5/8'',90,3/4'' Dia,M16,4.65 kg,0.79 kg,1.6,70,37.5*,82.8
3+1/2,215,22.3,122,101.6,70,139.7,2,177.8,8 Holes,5/8'',90,3/4'' Dia,M16,5.73 kg,1.59 kg,1.6,72,37.5*,95.5
4,230,22.3,135,114.3,75,157.2,2,190.5,8 Holes,5/8'',90,3/4'' Dia,M16,6.56 kg,1.59 kg,1.6,77,37.5*,108.2
5,255,22.3,164,141.3,87,185.7,2,215.9,8 Holes,3/4'',95,7/8'' Dia,M20,8.03 kg,2.83 kg,1.6,89,37.5*,134.5
6,280,23.9,192,168.3,87,215.9,2,241.3,8 Holes,3/4'',100,7/8'' Dia,M20,9.66 kg,2.91 kg,1.6,89,37.5*,161.5
8,345,27.0,246,219.1,100,269.9,2,298.5,8 Holes,3/4'',110,7/8'' Dia,M20,15.97 kg,3.08 kg,1.6,102,37.5*,211.58
10,405,28.6,305,273.0,100,323.8,2,362.0,12 Holes,7/8'',115,1'' Dia,M24,21.11 kg,7.4 kg,1.6,102,37.5*,264.72
12,485,30.2,365,323.8,113,381.0,2,431.8,12 Holes,7/8'',120,1'' Dia,M24,33.83 kg,7.58 kg,1.6,115,37.5*,314.76
14,535,33.4,400,355.6,125,412.8,2,476.3,12 Holes,1'',135,1+1/8'' Dia,M27,45.21 kg,11.04 kg,1.6,127,37.5*,346.04
16,595,35.0,457,406.4,125,469.9,2,539.8,16 Holes,1'',135,1+1/8'' Dia,M27,55.51 kg,14.72 kg,1.6,127,37.5*,396.84
18,635,38.1,505,457.2,138,533.4,2,577.9,16 Holes,1+1/8'',145,1+1/4'' Dia,M30,63.29 kg,19.9 kg,1.6,140,37.5*,447.44
20,700,41.3,559,508.0,143,584.2,2,635.0,20 Holes,1+1/8'',160,1+1/4'' Dia,M30,80.55 kg,26.28 kg,1.6,145,37.5*,496.92
24,815,46.1,663,610.0,151,692.2,2,749.3,20 Holes,1+1/4'',170,1+3/8'' Dia,M33,112.1 kg,33.94 kg,1.6,153,37.5*,597.3
